Property_Area,Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,CoapplicantIncome,Property_Value,Loan_Sanctioned,Loan_Term
Urban,Male,Yes,Graduate,No,167162,9379.0,242775.0,208452508,No,120
Urban,Male,Yes,Not Graduate,No,149400,7719.0,243522.0,161301370,No,120
Semiurban,Male,Yes,Not Graduate,No,238625,8715.0,145250.0,111799257,Yes,120
Rural,Female,No,Graduate,No,415000,10956.0,0.0,58344103,Yes,180
Urban,Male,Yes,Graduate,No,134875,7968.0,149649.0,240860854,No,120
Rural,Male,No,Graduate,No,332000,11620.0,207500.0,55197407,Yes,180
Rural,Female,No,Graduate,No,312246,11205.0,138278.0,44588181,Yes,180
Urban,Female,No,Graduate,No,199200,8632.0,154629.0,228618022,No,120
Semiurban,Female,No,Graduate,No,242111,6972.0,0.0,75057315,Yes,120
Semiurban,Male,No,Not Graduate,No,242941,9213.0,199615.0,94352076,Yes,120
Rural,Female,No,Graduate,No,208081,4648.0,0.0,62496842,Yes,60
Rural,Male,Yes,Graduate,Yes,476918,11952.0,0.0,53623976,No,180
Urban,Male,Yes,Not Graduate,No,282117,9213.0,136120.0,196348784,Yes,120
Semiurban,Male,Yes,Graduate,No,308511,9960.0,0.0,121770462,Yes,120
Urban,Male,Yes,Graduate,No,170814,7304.0,177122.0,210029591,No,120
Semiurban,Female,No,Graduate,No,293903,9296.0,0.0,96349720,No,120
Semiurban,Male,Yes,Graduate,No,199200,9545.0,179861.0,75201403,No,120
Semiurban,Male,Yes,Graduate,No,360386,10292.0,15687.0,91187784,Yes,180
Rural,Female,No,Graduate,No,262778,10956.0,247755.0,34081875,No,180
Rural,Male,No,Graduate,No,408111,10790.0,0.0,65846058,No,180
Urban,Female,Yes,Graduate,No,359639,9130.0,203433.0,216755164,Yes,120
Urban,Female,No,Graduate,No,207500,5561.0,0.0,162813049,Yes,120
Urban,Male,No,Graduate,No,363872,9711.0,148819.0,195308877,Yes,120
Semiurban,Male,No,Graduate,No,243605,8134.0,0.0,114038597,Yes,120
Urban,Male,No,Graduate,No,235139,5893.0,0.0,134191744,Yes,120
Semiurban,Male,Yes,Graduate,Yes,456749,5810.0,372670.0,101216923,Yes,120
Semiurban,Female,No,Graduate,No,345280,5893.0,0.0,108264868,Yes,120
Rural,Female,No,Graduate,No,197374,3818.0,0.0,40981831,No,60
Semiurban,Male,Yes,Not Graduate,No,263359,6142.0,0.0,91095073,Yes,120
Rural,Male,Yes,Graduate,,214389,10375.0,193390.0,54387576,Yes,180
Urban,Male,Yes,Not Graduate,No,255889,10458.0,179944.0,206283137,Yes,180
Rural,Male,Yes,Graduate,No,221278,7885.0,172889.0,62021916,Yes,120
Rural,Female,Yes,Graduate,Yes,456500,8715.0,0.0,28082220,No,120
Semiurban,Female,Yes,Graduate,No,201109,10790.0,41915.0,122864817,Yes,180
Urban,Female,No,Graduate,No,316479,9628.0,0.0,243690656,Yes,120
Urban,Male,Yes,Graduate,No,321625,5561.0,0.0,203024225,Yes,120
Urban,Male,Yes,Not Graduate,No,249000,8300.0,138278.0,175570647,No,120
Semiurban,Female,No,Graduate,No,392009,6723.0,0.0,99526462,Yes,120
Urban,Male,Yes,Graduate,No,394250,10790.0,193639.0,186109821,Yes,180
Urban,Male,Yes,Graduate,No,250079,7885.0,251739.0,223727413,No,120
Rural,Male,No,Graduate,Yes,566226,11703.0,0.0,38984436,Yes,180
Rural,Male,No,Not Graduate,No,515928,11039.0,0.0,25366377,Yes,180
Semiurban,Male,No,Graduate,No,207500,7968.0,0.0,102907882,Yes,120
Rural,Male,No,Graduate,No,425292,10292.0,0.0,43296120,No,180
Urban,Male,No,Graduate,No,254146,9213.0,164921.0,147757596,No,120
Urban,Female,No,Graduate,,229412,9130.0,121097.0,139263791,Yes,120
Urban,Male,Yes,Graduate,No,399811,9960.0,76609.0,242812101,Yes,120
Rural,Male,Yes,Graduate,No,726250,10790.0,414668.0,53085887,Yes,180
Semiurban,Male,Yes,Graduate,No,357730,10790.0,0.0,68203590,No,180
Urban,Male,No,Graduate,No,254727,5893.0,0.0,215924832,Yes,120
Urban,Male,Yes,Graduate,No,447453,10790.0,0.0,241716916,Yes,180
Semiurban,Male,Yes,Graduate,,276639,10624.0,207500.0,75043454,Yes,180
Urban,Male,No,Graduate,Yes,594861,10624.0,0.0,131442784,Yes,180
Urban,Male,Yes,Graduate,No,378978,8300.0,0.0,200141386,Yes,120
Urban,Male,No,Graduate,,304361,9379.0,0.0,150791910,Yes,120
Semiurban,Male,No,Not Graduate,No,194718,10956.0,132800.0,116147378,No,180
Urban,Male,Yes,Graduate,No,193639,11288.0,200611.0,146242016,No,180
Rural,Male,Yes,Graduate,No,455504,10375.0,0.0,43418379,Yes,180
Urban,Male,Yes,Graduate,No,214389,9960.0,175545.0,131515990,No,120
Semiurban,Male,Yes,Not Graduate,No,165419,9379.0,134875.0,111520128,No,120
Urban,Male,Yes,Graduate,No,257300,9379.0,116200.0,227571973,Yes,120
Semiurban,Male,Yes,Graduate,No,271908,11205.0,40172.0,67755307,No,180
Urban,Female,No,Graduate,No,263940,5893.0,0.0,226526920,No,120
Urban,Male,Yes,Graduate,No,251739,7885.0,121097.0,182708813,Yes,120
Rural,Male,No,Not Graduate,No,323866,9047.0,138278.0,57708489,Yes,120
Semiurban,Female,No,Graduate,No,124500,8549.0,149400.0,106473230,No,120
Urban,Male,Yes,Not Graduate,No,239787,3735.0,0.0,230220337,No,60
Rural,Male,No,Not Graduate,No,228665,5395.0,0.0,59989246,Yes,120
Semiurban,Male,No,Graduate,No,207500,8549.0,1660000.0,74930740,Yes,120
Semiurban,Female,No,Not Graduate,No,162929,4399.0,0.0,86596058,No,60
Semiurban,Female,No,Graduate,No,377401,9545.0,0.0,87073723,Yes,120
Urban,Male,Yes,Not Graduate,No,179861,9545.0,199200.0,192088228,No,120
Rural,Female,No,Not Graduate,No,183679,5478.0,0.0,65465835,No,120
Semiurban,Female,No,Not Graduate,Yes,320961,5146.0,0.0,111052091,Yes,120
Rural,Male,Yes,Not Graduate,No,186999,9130.0,168739.0,65885649,No,120
Urban,Female,No,Graduate,No,248585,4980.0,0.0,193688883,Yes,60
Rural,Male,Yes,Graduate,No,85075,9296.0,230159.0,44202148,No,120
Semiurban,Male,Yes,Graduate,No,269418,11454.0,117611.0,123337419,Yes,180
Rural,Male,Yes,Graduate,No,483807,11454.0,0.0,38159997,Yes,180
Urban,Female,No,Not Graduate,No,225760,6640.0,0.0,217458506,No,120
Urban,Male,Yes,Graduate,No,151060,8300.0,142677.0,189767299,No,120
Urban,Male,Yes,Graduate,No,601750,9130.0,138361.0,157163156,No,120
Rural,Male,Yes,Graduate,No,221278,10043.0,356900.0,53873474,Yes,180
Rural,Female,No,Not Graduate,No,382298,6723.0,0.0,25898075,Yes,120
Semiurban,Male,Yes,Graduate,No,492605,11039.0,0.0,73705411,Yes,180
Rural,Male,Yes,Graduate,No,242360,7221.0,1337.96006972,32281937,Yes,120
Urban,Male,No,Not Graduate,No,225511,4980.0,0.0,143838253,Yes,60
Semiurban,Female,No,Graduate,Yes,715792,12450.0,0.0,83395744,Yes,180
Rural,Male,No,Graduate,No,539500,8715.0,0.0,43908079,No,120
Semiurban,Male,Yes,Graduate,No,201275,11869.0,194220.0,72101187,Yes,180
Urban,Male,No,Graduate,No,311250,8300.0,0.0,218383707,Yes,120
Semiurban,Male,No,Graduate,No,159858,4150.0,153633.0,69921607,No,60
Rural,Female,Yes,Not Graduate,Yes,592786,11454.0,0.0,33535735,Yes,180
Semiurban,Male,No,Not Graduate,No,390681,12284.0,165419.0,117802398,Yes,180
Rural,Male,Yes,Graduate,Yes,287678,10790.0,100430.0,35238729,Yes,180
Rural,Male,Yes,Not Graduate,No,386116,9130.0,0.0,44474554,Yes,120
Rural,Male,Yes,Graduate,,293737,4565.0,114208.0,48087378,Yes,60
Rural,Male,Yes,Graduate,No,277220,12450.0,141930.0,39619469,No,180
Rural,Male,Yes,Not Graduate,No,191647,10375.0,104165.0,45750015,No,180
Urban,Male,Yes,Not Graduate,No,162514,4980.0,120848.0,163091431,No,60
Rural,Male,Yes,Graduate,No,327684,12367.0,143839.0,51906208,No,180
Rural,Male,Yes,Graduate,No,206089,7470.0,204678.0,59980614,No,120
Semiurban,Male,No,Graduate,Yes,588055,6972.0,0.0,66646925,Yes,120
Semiurban,Male,Yes,Graduate,No,320297,7968.0,0.0,75039636,Yes,120
Urban,Male,Yes,Graduate,No,356983,9794.0,0.0,160865952,Yes,120
Rural,Male,No,Graduate,No,361382,11288.0,0.0,35890196,Yes,180
Urban,Male,Yes,Graduate,No,642420,10624.0,0.0,142056741,Yes,180
Semiurban,Female,No,Not Graduate,,430853,10956.0,0.0,120749728,Yes,180
Semiurban,Male,No,Graduate,No,345778,8134.0,0.0,110162829,No,120
Rural,Male,No,Graduate,No,498000,11620.0,0.0,28247307,Yes,180
Urban,Male,Yes,Not Graduate,No,244601,5810.0,138112.0,176890596,No,120
Semiurban,Female,Yes,Not Graduate,,17430,8134.0,242111.0,114639185,No,120
Urban,Male,Yes,Graduate,No,359639,9130.0,203433.0,196120202,Yes,120
Rural,Male,Yes,Not Graduate,No,220199,9379.0,124500.0,63764916,No,120
Semiurban,Male,Yes,Graduate,No,389353,8300.0,0.0,80270379,Yes,120
Urban,Female,No,Graduate,Yes,207500,7719.0,0.0,144156475,No,120
Semiurban,,Yes,Graduate,No,238459,10956.0,155376.0,121087704,No,180
Rural,Male,Yes,Not Graduate,No,256885,9379.0,0.0,34055315,Yes,120
Semiurban,Male,Yes,Graduate,No,172889,10624.0,261450.0,102386725,No,180
Rural,Male,Yes,Not Graduate,No,162514,10873.0,202188.0,29735995,No,180
Rural,Male,No,Graduate,No,294401,6640.0,0.0,37795544,No,120
Urban,Male,No,Graduate,No,202105,6225.0,0.0,220431981,Yes,120
Semiurban,Male,No,Not Graduate,No,224017,7968.0,231155.0,72126170,No,120
Rural,Male,No,Not Graduate,No,306353,9130.0,0.0,27564715,Yes,120
Rural,Male,Yes,Graduate,No,298551,9877.0,179031.0,36027063,No,120
Semiurban,Female,Yes,Graduate,No,276058,8715.0,75779.0,116335456,Yes,120
Rural,Male,Yes,Not Graduate,No,215800,8881.0,141100.0,45195492,Yes,120
Urban,Male,Yes,Graduate,No,383875,9213.0,237131.0,131863843,No,120
Semiurban,Male,Yes,Graduate,Yes,240285,7885.0,0.0,78061500,Yes,120
Rural,Female,No,Graduate,No,53535,9379.0,305689.0,37145156,No,120
Semiurban,Female,No,Graduate,No,262197,8300.0,0.0,101878433,Yes,120
Rural,Male,Yes,Not Graduate,No,336150,11454.0,440066.0,31092381,No,180
Semiurban,Male,Yes,Not Graduate,No,316562,10292.0,123089.0,72469707,Yes,180
Urban,,No,Graduate,No,297389,7968.0,0.0,236317600,Yes,120
Rural,Male,No,Not Graduate,No,298634,8300.0,106821.0,56334839,Yes,120
Urban,Male,Yes,Graduate,No,272489,12284.0,168905.0,230741494,Yes,180
Semiurban,Male,Yes,Graduate,No,176790,5810.0,553278.0,101894618,No,120
Rural,Male,Yes,Graduate,No,287678,12450.0,284524.0,39330048,Yes,180
Semiurban,Female,Yes,Graduate,No,168573,9379.0,135456.0,67744434,No,120
Semiurban,Male,Yes,Not Graduate,No,255142,10209.0,149400.0,117275680,No,180
Rural,Female,No,Not Graduate,No,282200,7885.0,0.0,56041849,Yes,120
Semiurban,Male,Yes,Not Graduate,No,181936,3735.0,144586.0,101018968,No,60
Semiurban,Male,No,Graduate,No,207500,4565.0,0.0,98776889,Yes,60
Rural,Male,Yes,Graduate,Yes,471191,8300.0,118192.0,27114440,Yes,120
Semiurban,Male,Yes,Graduate,No,313325,9130.0,0.0,74694771,Yes,120
Semiurban,Male,No,Not Graduate,No,222357,7802.0,108066.0,98789422,Yes,120
Semiurban,Male,No,Not Graduate,No,562989,10790.0,0.0,86255924,Yes,180
Urban,Male,Yes,Graduate,No,355323,8300.0,0.0,210910968,Yes,120
Rural,Male,No,Graduate,No,297804,9130.0,0.0,38713607,No,120
Rural,Male,No,Not Graduate,,211650,10458.0,169486.0,51522001,Yes,180
Semiurban,Male,No,Graduate,No,300211,8881.0,0.0,123082609,Yes,120
Rural,Male,Yes,Not Graduate,No,242111,5478.0,44488.0,40582020,Yes,120
Semiurban,Female,Yes,Graduate,No,382464,11620.0,236135.0,77781956,Yes,180
Semiurban,Female,No,Graduate,No,177454,8217.0,0.0,85000798,No,120
Semiurban,Female,No,Graduate,,303116,7885.0,0.0,74330733,Yes,120
Urban,Male,Yes,Not Graduate,No,185837,10624.0,209492.0,228372923,No,180
Semiurban,Female,Yes,Not Graduate,No,250411,8466.0,55029.0,83639266,No,120
Semiurban,Male,No,Not Graduate,No,278714,6640.0,0.0,110516492,Yes,120
Rural,Male,No,Graduate,No,209658,12035.0,147989.0,34324899,Yes,180
Semiurban,Female,No,Graduate,No,415000,8549.0,0.0,117413045,No,120
Rural,Male,Yes,Graduate,No,231155,9130.0,167328.0,39910882,Yes,120
Rural,Male,Yes,Graduate,No,298219,10956.0,354078.0,47384866,No,180
Semiurban,Male,Yes,Graduate,No,453844,2158.0,85656.0,107671169,Yes,60
Urban,Female,No,Graduate,No,221361,6972.0,134875.0,154476114,No,120
Semiurban,Male,Yes,Not Graduate,No,305025,8964.0,20086.0,113234991,Yes,120
Semiurban,Male,No,Not Graduate,Yes,481400,10956.0,0.0,114831745,Yes,180
Rural,Male,Yes,Not Graduate,No,370761,9960.0,0.0,41421067,No,120
Urban,Male,No,Graduate,No,276639,5810.0,0.0,229669549,Yes,120
Rural,Male,Yes,Graduate,No,282200,10209.0,207500.0,28667619,No,180
Urban,Female,No,Graduate,No,197374,747.0,0.0,125777453,No,60
Urban,Male,Yes,Graduate,No,262778,8632.0,171312.0,202258052,No,120
Semiurban,Male,Yes,Graduate,No,531698,12450.0,0.0,105452413,Yes,180
Urban,Male,Yes,Graduate,No,262197,8964.0,38263.0,187743676,Yes,120
Semiurban,,Yes,Graduate,No,256221,11288.0,183430.0,93230580,No,180
Urban,Male,No,Graduate,No,268007,9130.0,227337.0,142946833,Yes,120
Rural,Male,Yes,Graduate,No,147906,8881.0,185256.0,30279313,No,120
Urban,Male,No,Graduate,No,152388,7470.0,2808471.0,138771186,No,120
Semiurban,Female,Yes,Graduate,No,262778,2988.0,0.0,112372206,Yes,60
Rural,Male,Yes,Graduate,No,156040,5063.0,0.0,35658045,No,120
Rural,Male,Yes,Graduate,No,231321,12118.0,159111.0,49650600,No,180
Urban,Male,Yes,Graduate,No,190651,8632.0,126326.0,198573765,No,120
Semiurban,Female,No,Not Graduate,No,179695,5810.0,0.0,98792078,No,120
Semiurban,,No,Graduate,No,394250,7802.0,0.0,105405933,Yes,120
Semiurban,Male,Yes,Graduate,Yes,226258,8798.0,0.0,68939717,No,120
Semiurban,Male,Yes,Graduate,No,249000,4648.0,283528.0,72889853,Yes,60
Rural,Male,Yes,Graduate,No,320297,11786.0,273900.0,63992585,Yes,180
Rural,Male,No,Not Graduate,No,318139,9130.0,0.0,51212411,Yes,120
Semiurban,Male,No,Graduate,No,247921,7304.0,0.0,109495758,No,120
Urban,Male,Yes,Graduate,No,473349,10624.0,0.0,203105648,Yes,180
Rural,Male,Yes,Graduate,No,268256,8964.0,161850.0,59495728,Yes,120
Rural,Female,No,Graduate,No,240700,5893.0,0.0,34510736,Yes,120
Rural,Male,Yes,Graduate,No,340798,3320.0,0.0,33548268,Yes,60
Semiurban,Female,No,Graduate,Yes,380389,11039.0,0.0,78311911,No,180
